Date,CHHATTISGARH_Schedule,CHHATTISGARH_Drawal,CHHATTISGARH_Deviation,GUJARAT_Schedule,GUJARAT_Drawal,GUJARAT_Deviation,MADHYAPRADESH_Schedule,MADHYAPRADESH_Drawal,MADHYAPRADESH_Deviation,MAHARASHTRA_Schedule,MAHARASHTRA_Drawal,MAHARASHTRA_Deviation,GOA_Schedule,GOA_Drawal,GOA_Deviation,DD_Schedule,DD_Drawal,DD_Deviation,DNH_Schedule,DNH_Drawal,DNH_Deviation,AMNSIL_Schedule,AMNSIL_Drawal,AMNSIL_Deviation,BARC_Schedule,BARC_Drawal,BARC_Deviation,Block,Frequency_hz
01-May-21,1436.95,1451.17,14.22,5189.30,4778.84,-410.47,6479.48,6563.57,84.09,6320.27,5846.49,-473.78,388.07,373.66,-14.41,233.83,194.97,-38.86,669.83,609.70,-60.12,49.24,-35.04,-84.28,8.86,3.89,-4.97,32.00,50.05
01-May-21,1520.65,1417.07,-103.58,5051.59,4817.60,-233.98,6314.28,6352.72,38.44,6188.98,5748.18,-440.80,388.66,371.86,-16.80,219.32,185.78,-33.55,655.27,606.86,-48.42,49.24,-132.64,-181.88,8.84,3.94,-4.90,33.00,50.08
01-May-21,1514.94,1379.05,-135.89,5051.45,4802.86,-248.59,6351.62,6290.26,-61.36,6265.98,6038.83,-227.16,384.42,368.46,-15.96,209.66,184.50,-25.16,674.59,606.39,-68.20,49.24,-48.80,-98.04,8.85,3.95,-4.90,34.00,50.04
01-May-21,1428.68,1376.36,-52.32,5038.60,4967.45,-71.15,6310.18,6166.72,-143.46,6155.27,6161.36,6.10,388.76,364.71,-24.05,209.65,185.61,-24.04,656.34,609.75,-46.59,49.24,3.52,-45.72,8.84,3.96,-4.88,35.00,50.04
01-May-21,1432.83,1391.57,-41.26,4957.59,4872.24,-85.35,6279.31,6055.24,-224.07,6160.73,6202.88,42.15,389.68,365.03,-24.64,224.11,183.22,-40.89,703.48,608.28,-95.20,49.24,76.32,27.08,8.84,3.98,-4.86,36.00,50.04
01-May-21,1419.06,1357.48,-61.58,5260.55,4916.09,-344.46,5806.58,5868.13,61.55,6157.65,6495.76,338.12,391.55,367.03,-24.52,194.08,184.30,-9.79,650.84,611.26,-39.58,49.24,5.12,-44.12,8.74,3.99,-4.75,37.00,50.03
01-May-21,1422.90,1403.74,-19.16,5409.23,5222.14,-187.09,5630.64,5804.29,173.65,6200.26,6468.36,268.11,396.30,361.66,-34.63,194.08,184.96,-9.12,650.85,609.29,-41.56,49.24,202.08,152.84,8.75,4.02,-4.73,38.00,50.00
01-May-21,1385.95,1453.00,67.06,5551.16,5485.85,-65.30,5807.39,5749.86,-57.53,6361.35,6325.40,-35.95,400.70,375.88,-24.82,187.33,178.14,-9.19,570.43,610.03,39.60,49.24,15.20,-34.04,8.77,4.05,-4.72,39.00,50.01
01-May-21,1389.61,1452.32,62.71,5306.19,5595.00,288.81,5995.63,5701.70,-293.93,6365.98,6358.62,-7.36,405.62,376.16,-29.47,187.34,178.06,-9.28,608.42,612.13,3.71,49.24,-60.80,-110.04,8.86,4.02,-4.83,40.00,50.02
01-May-21,1392.49,1416.80,24.31,5318.35,5783.35,465.00,5833.51,5590.52,-242.98,6337.67,6277.26,-60.41,384.42,383.84,-0.58,181.12,180.02,-1.10,613.24,613.73,0.49,49.24,21.60,-27.64,8.86,4.00,-4.86,41.00,49.97
